Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Date,HomeTeam_encoded,AwayTeam_encoded,Stage_encoded,Winner
1996,03-Feb-96,,Ghana , Zambia,0,1,Third place,03/02/1996,15,41,5,-1
1996,03-Feb-96,,South Africa , Tunisia,2,0,Final,03/02/1996,33,37,0,1
1998,07-Feb-98,16:00,Burkina Faso , Cameroon,0,1,Group stage,07/02/1998,3,5,1,-1
1998,08-Feb-98,20:30,Algeria , Guinea,0,1,Group stage,08/02/1998,0,15,1,-1
1998,11-Feb-98,15:00,Cameroon , Guinea,2,2,Group stage,11/02/1998,5,15,1,0
1998,11-Feb-98,20:00,Burkina Faso , Algeria,2,1,Group stage,11/02/1998,3,0,1,1
1998,15-Feb-98,16:00,Burkina Faso , Guinea,1,0,Group stage,15/02/1998,3,15,1,1
1998,15-Feb-98,16:00,Cameroon , Algeria,2,1,Group stage,15/02/1998,5,0,1,1
1998,09-Feb-98,16:00,DR Congo , Togo,2,1,Group stage,09/02/1998,8,36,1,1
1998,09-Feb-98,20:30,Ghana , Tunisia,2,0,Group stage,09/02/1998,15,37,1,1
1998,12-Feb-98,16:00,Tunisia , DR Congo,2,1,Group stage,12/02/1998,37,8,1,1
1998,12-Feb-98,20:30,Togo , Ghana,2,1,Group stage,12/02/1998,36,14,1,1
1998,16-Feb-98,17:00,DR Congo , Ghana,1,0,Group stage,16/02/1998,8,14,1,1
1998,16-Feb-98,17:00,Tunisia , Togo,3,1,Group stage,16/02/1998,37,36,1,1
1998,08-Feb-98,15:00,South Africa , Angola,0,0,Group stage,08/02/1998,33,1,1,0
1998,08-Feb-98,18:00,Ivory Coast , Namibia,4,3,Group stage,08/02/1998,18,28,1,1
1998,11-Feb-98,17:15,Ivory Coast , South Africa,1,1,Group stage,11/02/1998,18,33,1,0
1998,12-Feb-98,18:15,Angola , Namibia,3,3,Group stage,12/02/1998,1,28,1,0
1998,16-Feb-98,20:00,Ivory Coast , Angola,5,2,Group stage,16/02/1998,18,1,1,1
1998,16-Feb-98,20:00,South Africa , Namibia,4,1,Group stage,16/02/1998,33,28,1,1
1998,09-Feb-98,18:15,Morocco , Zambia,1,1,Group stage,09/02/1998,26,41,1,0
1998,10-Feb-98,18:00,Egypt , Mozambique,2,0,Group stage,10/02/1998,10,27,1,1
1998,13-Feb-98,17:00,Egypt , Zambia,4,0,Group stage,13/02/1998,10,41,1,1
1998,13-Feb-98,20:00,Morocco , Mozambique,3,0,Group stage,13/02/1998,26,27,1,1
1998,17-Feb-98,16:00,Zambia , Mozambique,3,1,Group stage,17/02/1998,41,27,1,1
1998,17-Feb-98,16:00,Morocco , Egypt,1,0,Group stage,17/02/1998,26,9,1,1
1998,20-Feb-98,16:00,Cameroon , DR Congo,0,1,Quarter-finals,20/02/1998,5,8,2,-1
1998,21-Feb-98,17:00,Tunisia , Burkina Faso,1,1,Quarter-finals,21/02/1998,37,3,2,0
1998,21-Feb-98,20:00,Ivory Coast , Egypt,0,0,Quarter-finals,21/02/1998,18,9,2,0
1998,22-Feb-98,16:00,Morocco , South Africa,1,2,Quarter-finals,22/02/1998,26,33,2,-1
1998,25-Feb-98,16:00,DR Congo , South Africa,1,2,Semi-finals,25/02/1998,8,33,4,-1
1998,25-Feb-98,20:00,Burkina Faso , Egypt,0,2,Semi-finals,25/02/1998,3,9,4,-1
1998,27-Feb-98,16:00,DR Congo , Burkina Faso,4,4,Third place,27/02/1998,8,3,5,0
1998,28-Feb-98,16:00,South Africa , Egypt,0,2,Final,28/02/1998,33,9,0,-1
2000,22-Jan-00,16:00,Ghana , Cameroon,1,1,Group stage,22/01/2000,15,5,1,0
2000,24-Jan-00,16:00,Ivory Coast , Togo,1,1,Group stage,24/01/2000,18,36,1,0
2000,27-Jan-00,16:00,Ghana , Togo,2,0,Group stage,27/01/2000,15,36,1,1
2000,28-Jan-00,19:45,Cameroon , Ivory Coast,3,0,Group stage,28/01/2000,5,17,1,1
2000,31-Jan-00,16:00,Ghana , Ivory Coast,0,2,Group stage,31/01/2000,15,17,1,-1
2000,31-Jan-00,16:00,Cameroon , Togo,0,1,Group stage,31/01/2000,5,36,1,-1
2000,23-Jan-00,19:45,South Africa , Gabon,3,1,Group stage,23/01/2000,33,12,1,1
2000,24-Jan-00,19:45,DR Congo , Algeria,0,0,Group stage,24/01/2000,8,0,1,0
2000,27-Jan-00,19:45,South Africa , DR Congo,1,0,Group stage,27/01/2000,33,8,1,1
2000,29-Jan-00,19:45,Algeria , Gabon,3,1,Group stage,29/01/2000,0,12,1,1
2000,02-Feb-00,16:00,South Africa , Algeria,1,1,Group stage,02/02/2000,33,0,1,0
2000,02-Feb-00,16:00,DR Congo , Gabon,0,0,Group stage,02/02/2000,8,12,1,0
2000,23-Jan-00,18:30,Egypt , Zambia,2,0,Group stage,23/01/2000,10,41,1,1
2000,25-Jan-00,17:00,Burkina Faso , Senegal,1,3,Group stage,25/01/2000,3,31,1,-1
2000,28-Jan-00,18:30,Egypt , Senegal,1,0,Group stage,28/01/2000,10,31,1,1
2000,29-Jan-00,18:30,Zambia , Burkina Faso,1,1,Group stage,29/01/2000,41,3,1,0
2000,02-Feb-00,17:00,Egypt , Burkina Faso,4,2,Group stage,02/02/2000,10,3,1,1
2000,02-Feb-00,17:00,Zambia , Senegal,2,2,Group stage,02/02/2000,41,31,1,0
2000,23-Jan-00,16:00,Nigeria , Tunisia,4,2,Group stage,23/01/2000,29,37,1,1
2000,25-Jan-00,19:30,Morocco , DR Congo,1,0,Group stage,25/01/2000,26,8,1,1
2000,28-Jan-00,16:00,Nigeria , DR Congo,0,0,Group stage,28/01/2000,29,8,1,0
2000,29-Jan-00,16:00,Tunisia , Morocco,0,0,Group stage,29/01/2000,37,26,1,0
2000,03-Feb-00,17:00,Nigeria , Morocco,2,0,Group stage,03/02/2000,29,26,1,1
2000,03-Feb-00,17:00,Tunisia , DR Congo,1,0,Group stage,03/02/2000,37,8,1,1
2000,06-Feb-00,16:00,Cameroon , Algeria,2,1,Quarter-finals,06/02/2000,5,0,2,1
2000,06-Feb-00,19:30,South Africa , Ghana,1,0,Quarter-finals,06/02/2000,33,14,2,1
2000,07-Feb-00,16:00,Egypt , Tunisia,0,1,Quarter-finals,07/02/2000,10,37,2,-1
2000,07-Feb-00,19:00,Nigeria , Senegal,2,1,Quarter-finals,07/02/2000,29,31,2,1
2000,10-Feb-00,16:30,Nigeria , South Africa,2,0,Semi-finals,10/02/2000,29,33,4,1
2000,10-Feb-00,18:30,Cameroon , Tunisia,3,0,Semi-finals,10/02/2000,5,37,4,1
2000,12-Feb-00,16:00,South Africa , Tunisia,2,2,Third place,12/02/2000,33,37,5,0
2000,13-Feb-00,16:00,Nigeria , Cameroon,2,2,Final,13/02/2000,29,5,0,0
2002,19-Jan-02,16:00,Mali , Liberia,1,1,Group stage,19/01/2002,24,19,1,0
2002,21-Jan-02,16:00,Algeria , Nigeria,0,1,Group stage,21/01/2002,0,29,1,-1
2002,24-Jan-02,19:00,Mali , Nigeria,0,0,Group stage,24/01/2002,24,29,1,0
2002,25-Jan-02,19:30,Liberia , Algeria,2,2,Group stage,25/01/2002,20,0,1,0
2002,28-Jan-02,18:00,Mali , Algeria,2,0,Group stage,28/01/2002,24,0,1,1
2002,28-Jan-02,18:00,Liberia , Nigeria,0,1,Group stage,28/01/2002,20,29,1,-1
2002,20-Jan-02,19:30,South Africa , Burkina Faso,0,0,Group stage,20/01/2002,33,3,1,0
2002,21-Jan-02,16:00,Morocco , Ghana,0,0,Group stage,21/01/2002,26,14,1,0
2002,24-Jan-02,16:00,South Africa , Ghana,0,0,Group stage,24/01/2002,33,14,1,0
2002,26-Jan-02,15:30,Burkina Faso , Morocco,1,2,Group stage,26/01/2002,3,26,1,-1
2002,30-Jan-02,16:00,South Africa , Morocco,3,1,Group stage,30/01/2002,33,26,1,1
2002,30-Jan-02,16:00,Burkina Faso , Ghana,1,2,Group stage,30/01/2002,3,14,1,-1
2002,20-Jan-02,17:30,Cameroon , DR Congo,1,0,Group stage,20/01/2002,5,8,1,1
2002,21-Jan-02,18:00,Togo , Ivory Coast,0,0,Group stage,21/01/2002,36,17,1,0
2002,25-Jan-02,17:30,Cameroon , Ivory Coast,1,0,Group stage,25/01/2002,5,17,1,1
2002,26-Jan-02,17:30,DR Congo , Togo,0,0,Group stage,26/01/2002,8,36,1,0
2002,29-Jan-02,16:00,Cameroon , Togo,3,0,Group stage,29/01/2002,5,36,1,1
2002,29-Jan-02,16:00,DR Congo , Ivory Coast,3,1,Group stage,29/01/2002,8,17,1,1
2002,20-Jan-02,15:30,Egypt , Senegal,0,1,Group stage,20/01/2002,10,31,1,-1
2002,21-Jan-02,19:00,Zambia , Tunisia,0,0,Group stage,21/01/2002,41,37,1,0
2002,25-Jan-02,15:30,Egypt , Tunisia,1,0,Group stage,25/01/2002,10,37,1,1
2002,26-Jan-02,19:30,Senegal , Zambia,1,0,Group stage,26/01/2002,31,41,1,1
2002,31-Jan-02,16:00,Egypt , Zambia,2,1,Group stage,31/01/2002,10,41,1,1
2002,31-Jan-02,16:00,Senegal , Tunisia,0,0,Group stage,31/01/2002,31,37,1,0
2002,03-Feb-02,16:00,South Africa , Mali,0,2,Quarter-finals,03/02/2002,33,23,2,-1
2002,03-Feb-02,19:00,Nigeria , Ghana,1,0,Quarter-finals,03/02/2002,29,14,2,1
2002,04-Feb-02,16:00,Cameroon , Egypt,1,0,Quarter-finals,04/02/2002,5,9,2,1
2002,04-Feb-02,19:00,Senegal , DR Congo,2,0,Quarter-finals,04/02/2002,31,8,2,1
2002,07-Feb-02,16:00,Nigeria , Senegal,1,2,Semi-finals,07/02/2002,29,31,4,-1
2002,07-Feb-02,19:00,Mali , Cameroon,0,3,Semi-finals,07/02/2002,24,5,4,-1
2002,09-Feb-02,16:00,Nigeria , Mali,1,0,Third place,09/02/2002,29,23,5,1
2002,10-Feb-02,16:00,Senegal , Cameroon,0,0,Final,10/02/2002,31,5,0,0
2004,24-Jan-04,19:30,Tunisia , Rwanda,2,1,Group stage,24/01/2004,37,30,1,1
2004,25-Jan-04,14:00,DR Congo , Guinea,1,2,Group stage,25/01/2004,8,15,1,-1
2004,28-Jan-04,14:00,Rwanda , Guinea,1,1,Group stage,28/01/2004,30,15,1,0
2004,28-Jan-04,16:15,Tunisia , DR Congo,3,0,Group stage,28/01/2004,37,8,1,1
2004,01-Feb-04,14:00,Tunisia , Guinea,1,1,Group stage,01/02/2004,37,15,1,0
2004,01-Feb-04,14:00,Rwanda , DR Congo,1,0,Group stage,01/02/2004,30,8,1,1
2004,26-Jan-04,14:00,Kenya , Mali,1,3,Group stage,26/01/2004,19,23,1,-1
2004,26-Jan-04,19:00,Senegal , Burkina Faso,0,0,Group stage,26/01/2004,31,3,1,0
2004,30-Jan-04,14:00,Senegal , Kenya,3,0,Group stage,30/01/2004,31,18,1,1
2004,30-Jan-04,19:00,Burkina Faso , Mali,1,3,Group stage,30/01/2004,3,23,1,-1
2004,02-Feb-04,14:00,Senegal , Mali,1,1,Group stage,02/02/2004,31,23,1,0
2004,02-Feb-04,14:00,Burkina Faso , Kenya,0,3,Group stage,02/02/2004,3,18,1,-1
2004,25-Jan-04,16:30,Zimbabwe , Egypt,1,2,Group stage,25/01/2004,42,9,1,-1
2004,25-Jan-04,19:00,Cameroon , Algeria,1,1,Group stage,25/01/2004,5,0,1,0
2004,29-Jan-04,16:30,Cameroon , Zimbabwe,5,3,Group stage,29/01/2004,5,42,1,1
2004,29-Jan-04,19:00,Algeria , Egypt,2,1,Group stage,29/01/2004,0,9,1,1
2004,03-Feb-04,14:00,Cameroon , Egypt,0,0,Group stage,03/02/2004,5,9,1,0
2004,03-Feb-04,14:00,Algeria , Zimbabwe,1,2,Group stage,03/02/2004,0,42,1,-1
2004,27-Jan-04,14:00,Nigeria , Morocco,0,1,Group stage,27/01/2004,29,26,1,-1
2004,27-Jan-04,18:00,South Africa , Benin,2,0,Group stage,27/01/2004,33,2,1,1
2004,31-Jan-04,14:00,Nigeria , South Africa,4,0,Group stage,31/01/2004,29,33,1,1
2004,31-Jan-04,18:00,Morocco , Benin,4,0,Group stage,31/01/2004,26,2,1,1
2004,04-Feb-04,18:00,Morocco , South Africa,1,1,Group stage,04/02/2004,26,33,1,0
2004,04-Feb-04,18:00,Nigeria , Benin,2,1,Group stage,04/02/2004,29,2,1,1
2004,07-Feb-04,14:00,Mali , Guinea,2,1,Quarter-finals,07/02/2004,24,15,2,1
2004,07-Feb-04,17:00,Tunisia , Senegal,1,0,Quarter-finals,07/02/2004,37,31,2,1
2004,08-Feb-04,14:00,Cameroon , Nigeria,1,2,Quarter-finals,08/02/2004,5,29,2,-1
2004,08-Feb-04,17:00,Morocco , Algeria,3,1,Quarter-finals,08/02/2004,26,0,2,1
2004,11-Feb-04,16:00,Tunisia , Nigeria,1,1,Semi-finals,11/02/2004,37,29,4,0
2004,11-Feb-04,19:00,Morocco , Mali,4,0,Semi-finals,11/02/2004,26,23,4,1
2004,13-Feb-04,20:00,Nigeria , Mali,2,1,Third place,13/02/2004,29,23,5,1
2004,14-Feb-04,14:30,Tunisia , Morocco,2,1,Final,14/02/2004,37,26,0,1
2006,20-Jan-06,19:00,Egypt , Libya,3,0,Group stage,20/01/2006,10,20,1,1
2006,21-Jan-06,14:00,Morocco , Ivory Coast,0,1,Group stage,21/01/2006,26,17,1,-1
2006,24-Jan-06,17:15,Libya , Ivory Coast,1,2,Group stage,24/01/2006,21,17,1,-1
2006,24-Jan-06,20:00,Egypt , Morocco,0,0,Group stage,24/01/2006,10,26,1,0
2006,28-Jan-06,19:00,Egypt , Ivory Coast,3,1,Group stage,28/01/2006,10,17,1,1
2006,28-Jan-06,19:00,Libya , Morocco,0,0,Group stage,28/01/2006,21,26,1,0
2006,21-Jan-06,17:15,Cameroon , Angola,3,1,Group stage,21/01/2006,5,1,1,1
2006,21-Jan-06,20:00,Togo , DR Congo,0,2,Group stage,21/01/2006,36,8,1,-1
2006,25-Jan-06,17:15,Angola , DR Congo,0,0,Group stage,25/01/2006,1,8,1,0
2006,25-Jan-06,20:00,Cameroon , Togo,2,0,Group stage,25/01/2006,5,36,1,1
2006,29-Jan-06,19:00,Angola , Togo,3,2,Group stage,29/01/2006,1,36,1,1
2006,29-Jan-06,19:00,Cameroon , DR Congo,2,0,Group stage,29/01/2006,5,8,1,1
2006,22-Jan-06,17:15,Tunisia , Zambia,4,1,Group stage,22/01/2006,37,41,1,1
2006,22-Jan-06,20:00,South Africa , Guinea,0,2,Group stage,22/01/2006,33,15,1,-1
2006,26-Jan-06,17:15,Zambia , Guinea,1,2,Group stage,26/01/2006,41,15,1,-1
2006,26-Jan-06,20:00,Tunisia , South Africa,2,0,Group stage,26/01/2006,37,33,1,1
2006,30-Jan-06,19:00,Tunisia , Guinea,0,3,Group stage,30/01/2006,37,15,1,-1
2006,30-Jan-06,19:00,Zambia , South Africa,1,0,Group stage,30/01/2006,41,33,1,1
2006,23-Jan-06,17:15,Nigeria , Ghana,1,0,Group stage,23/01/2006,29,14,1,1
2006,23-Jan-06,20:00,Zimbabwe , Senegal,0,2,Group stage,23/01/2006,42,31,1,-1
2006,27-Jan-06,17:15,Ghana , Senegal,1,0,Group stage,27/01/2006,15,31,1,1
2006,27-Jan-06,20:00,Nigeria , Zimbabwe,2,0,Group stage,27/01/2006,29,42,1,1
2006,31-Jan-06,19:00,Nigeria , Senegal,2,1,Group stage,31/01/2006,29,31,1,1
2006,31-Jan-06,19:00,Ghana , Zimbabwe,1,2,Group stage,31/01/2006,15,42,1,-1
2006,03-Feb-06,15:00,Guinea , Senegal,2,3,Quarter-finals,03/02/2006,16,31,2,-1
2006,03-Feb-06,19:00,Egypt , DR Congo,4,1,Quarter-finals,03/02/2006,10,8,2,1
2006,04-Feb-06,15:00,Nigeria , Tunisia,1,1,Quarter-finals,04/02/2006,29,37,2,0
2006,04-Feb-06,19:00,Cameroon , Ivory Coast,1,1,Quarter-finals,04/02/2006,5,17,2,0
2006,07-Feb-06,19:00,Egypt , Senegal,2,1,Semi-finals,07/02/2006,10,31,4,1
2006,07-Feb-06,15:00,Nigeria , Ivory Coast,0,1,Semi-finals,07/02/2006,29,17,4,-1
2006,09-Feb-06,18:00,Senegal , Nigeria,0,1,Third place,09/02/2006,31,29,5,-1
2006,10-Feb-06,18:00,Egypt , Ivory Coast,0,0,Final,10/02/2006,10,17,0,0
2008,20-Jan-08,17:00,Ghana , Guinea,2,1,Group stage,20/01/2008,15,15,1,1
2008,21-Jan-08,15:00,Namibia , Morocco,1,5,Group stage,21/01/2008,28,26,1,-1
2008,24-Jan-08,17:00,Guinea , Morocco,3,2,Group stage,24/01/2008,16,26,1,1
2008,24-Jan-08,19:30,Ghana , Namibia,1,0,Group stage,24/01/2008,15,28,1,1
2008,28-Jan-08,17:00,Ghana , Morocco,2,0,Group stage,28/01/2008,15,26,1,1
2008,28-Jan-08,17:00,Guinea , Namibia,1,1,Group stage,28/01/2008,16,28,1,0
2008,21-Jan-08,17:00,Nigeria , Ivory Coast,0,1,Group stage,21/01/2008,29,17,1,-1
2008,21-Jan-08,19:45[7],Mali , Benin,1,0,Group stage,21/01/2008,24,2,1,1
2008,25-Jan-08,17:00,Ivory Coast , Benin,4,1,Group stage,25/01/2008,18,2,1,1
2008,25-Jan-08,19:30,Nigeria , Mali,0,0,Group stage,25/01/2008,29,23,1,0
2008,29-Jan-08,17:00,Nigeria , Benin,2,0,Group stage,29/01/2008,29,2,1,1
2008,29-Jan-08,17:00,Ivory Coast , Mali,3,0,Group stage,29/01/2008,18,23,1,1
2008,22-Jan-08,17:00,Egypt , Cameroon,4,2,Group stage,22/01/2008,10,5,1,1
2008,22-Jan-08,19:30,Sudan , Zambia,0,3,Group stage,22/01/2008,34,41,1,-1
2008,26-Jan-08,17:00,Cameroon , Zambia,5,1,Group stage,26/01/2008,5,41,1,1
2008,26-Jan-08,19:30,Egypt , Sudan,3,0,Group stage,26/01/2008,10,34,1,1
2008,30-Jan-08,17:00,Cameroon , Sudan,3,0,Group stage,30/01/2008,5,34,1,1
2008,30-Jan-08,17:00,Egypt , Zambia,1,1,Group stage,30/01/2008,10,41,1,0
2008,23-Jan-08,17:00,Tunisia , Senegal,2,2,Group stage,23/01/2008,37,31,1,0
2008,23-Jan-08,19:30,South Africa , Angola,1,1,Group stage,23/01/2008,33,1,1,0
2008,27-Jan-08,17:00,Senegal , Angola,1,3,Group stage,27/01/2008,31,1,1,-1
2008,27-Jan-08,19:30,Tunisia , South Africa,3,1,Group stage,27/01/2008,37,33,1,1
2008,31-Jan-08,17:00,Senegal , South Africa,1,1,Group stage,31/01/2008,31,33,1,0
2008,31-Jan-08,17:00,Tunisia , Angola,0,0,Group stage,31/01/2008,37,1,1,0
2008,03-Feb-08,17:00,Ghana , Nigeria,2,1,Quarter-finals,03/02/2008,15,29,2,1
2008,03-Feb-08,20:30,Ivory Coast , Guinea,5,0,Quarter-finals,03/02/2008,18,15,2,1
2008,04-Feb-08,17:00,Egypt , Angola,2,1,Quarter-finals,04/02/2008,10,1,2,1
2008,04-Feb-08,20:30,Tunisia , Cameroon,2,3,Quarter-finals,04/02/2008,37,5,2,-1
2008,07-Feb-08,17:00,Ghana , Cameroon,0,1,Semi-finals,07/02/2008,15,5,4,-1
2008,07-Feb-08,20:30,Ivory Coast , Egypt,1,4,Semi-finals,07/02/2008,18,9,4,-1
2008,09-Feb-08,17:00,Ghana , Ivory Coast,4,2,Third place,09/02/2008,15,17,5,1
2008,10-Feb-08,17:00,Cameroon , Egypt,0,1,Final,10/02/2008,5,9,0,-1
2010,10-Jan-10,20:00,Angola , Mali,4,4,Group stage,10/01/2010,1,23,1,0
2010,11-Jan-10,14:45,Malawi , Algeria,3,0,Group stage,11/01/2010,23,0,1,1
2010,14-Jan-10,17:00,Mali , Algeria,0,1,Group stage,14/01/2010,24,0,1,-1
2010,14-Jan-10,19:30,Angola , Malawi,2,0,Group stage,14/01/2010,1,22,1,1
2010,18-Jan-10,17:00,Angola , Algeria,0,0,Group stage,18/01/2010,1,0,1,0
2010,18-Jan-10,17:00,Mali , Malawi,3,1,Group stage,18/01/2010,24,22,1,1
2010,11-Jan-10,17:00,Ivory Coast , Burkina Faso,0,0,Group stage,11/01/2010,18,3,1,0
2010,15-Jan-10,19:30,Ivory Coast , Ghana,3,1,Group stage,15/01/2010,18,14,1,1
2010,19-Jan-10,17:00,Burkina Faso , Ghana,0,1,Group stage,19/01/2010,3,14,1,-1
2010,12-Jan-10,17:00,Egypt , Nigeria,3,1,Group stage,12/01/2010,10,29,1,1
2010,12-Jan-10,19:30,Mozambique , Benin,2,2,Group stage,12/01/2010,27,2,1,0
2010,16-Jan-10,17:00,Nigeria , Benin,1,0,Group stage,16/01/2010,29,2,1,1
2010,16-Jan-10,19:30,Egypt , Mozambique,2,0,Group stage,16/01/2010,10,27,1,1
2010,20-Jan-10,17:00,Egypt , Benin,2,0,Group stage,20/01/2010,10,2,1,1
2010,20-Jan-10,17:00,Nigeria , Mozambique,3,0,Group stage,20/01/2010,29,27,1,1
2010,13-Jan-10,17:00,Cameroon , Gabon,0,1,Group stage,13/01/2010,5,12,1,-1
2010,13-Jan-10,19:30,Zambia , Tunisia,1,1,Group stage,13/01/2010,41,37,1,0
2010,17-Jan-10,17:00,Gabon , Tunisia,0,0,Group stage,17/01/2010,13,37,1,0
2010,17-Jan-10,19:30,Cameroon , Zambia,3,2,Group stage,17/01/2010,5,41,1,1
2010,21-Jan-10,17:00,Gabon , Zambia,1,2,Group stage,21/01/2010,13,41,1,-1
2010,21-Jan-10,17:00,Cameroon , Tunisia,2,2,Group stage,21/01/2010,5,37,1,0
2010,24-Jan-10,17:00,Angola , Ghana,0,1,Quarter-finals,24/01/2010,1,14,2,-1
2010,24-Jan-10,20:30,Ivory Coast , Algeria,2,3,Quarter-finals,24/01/2010,18,0,2,-1
2010,25-Jan-10,17:00,Egypt , Cameroon,3,1,Quarter-finals,25/01/2010,10,5,2,1
2010,25-Jan-10,20:30,Zambia , Nigeria,0,0,Quarter-finals,25/01/2010,41,29,2,0
2010,28-Jan-10,16:00,Ghana , Nigeria,1,0,Semi-finals,28/01/2010,15,29,4,1
2010,28-Jan-10,20:30,Algeria , Egypt,0,4,Semi-finals,28/01/2010,0,9,4,-1
2010,30-Jan-10,17:00,Nigeria , Algeria,1,0,Third place,30/01/2010,29,0,5,1
2010,31-Jan-10,17:00,Ghana , Egypt,0,1,Final,31/01/2010,15,9,0,-1
2012,04-Feb-12,17:00,Zambia , Sudan,3,0,Quarter-finals,04/02/2012,41,34,2,1
2012,04-Feb-12,20:00,Ivory Coast , Equatorial Guinea,3,0,Quarter-finals,04/02/2012,18,10,2,1
2012,05-Feb-12,17:00,Gabon , Mali,1,1,Quarter-finals,05/02/2012,13,23,2,0
2012,05-Feb-12,20:00,Ghana , Tunisia,2,1,Quarter-finals,05/02/2012,15,37,2,1
2012,08-Feb-12,17:00,Zambia , Ghana,1,0,Semi-finals,08/02/2012,41,14,4,1
2012,08-Feb-12,20:00,Mali , Ivory Coast,0,1,Semi-finals,08/02/2012,24,17,4,-1
2012,11-Feb-12,20:00,Ghana , Mali,0,2,Third place,11/02/2012,15,23,5,-1
2012,12-Feb-12,20:30[note 1],Zambia , Ivory Coast,0,0,Final,12/02/2012,41,17,0,0
2013,02-Feb-13,17:00,Ghana , Cape Verde,2,0,Quarter-finals,02/02/2013,15,6,2,1
2013,02-Feb-13,20:30,South Africa , Mali,1,1,Quarter-finals,02/02/2013,33,23,2,0
2013,03-Feb-13,17:00,Ivory Coast , Nigeria,1,2,Quarter-finals,03/02/2013,18,29,2,-1
2013,03-Feb-13,20:30,Burkina Faso , Togo,1,0,Quarter-finals,03/02/2013,3,36,2,1
2013,06-Feb-13,17:00,Mali , Nigeria,1,4,Semi-finals,06/02/2013,24,29,4,-1
2013,06-Feb-13,20:30,Burkina Faso , Ghana,1,1,Semi-finals,06/02/2013,3,14,4,0
2013,09-Feb-13,20:00,Mali , Ghana,3,1,Third place,09/02/2013,24,14,5,1
2013,10-Feb-13,20:30,Nigeria , Burkina Faso,1,0,Final,10/02/2013,29,3,0,1
2015,31-Jan-15,17:00,DR Congo , DR Congo,2,4,Quarter-finals,31/01/2015,8,8,2,-1
2015,31-Jan-15,20:30,Tunisia , Equatorial Guinea,1,2,Quarter-finals,31/01/2015,37,10,2,-1
2015,01-Feb-15,17:00,Ghana , Guinea,3,0,Quarter-finals,01/02/2015,15,15,2,1
2015,01-Feb-15,20:30,Ivory Coast , Algeria,3,1,Quarter-finals,01/02/2015,18,0,2,1
2015,04-Feb-15,20:00,DR Congo , Ivory Coast,1,3,Semi-finals,04/02/2015,8,17,4,-1
2015,05-Feb-15,20:00,Ghana , Equatorial Guinea,3,0,Semi-finals,05/02/2015,15,10,4,1
2015,07-Feb-15,17:00,DR Congo , Equatorial Guinea,0,0,Third place,07/02/2015,8,10,5,0
2015,08-Feb-15,20:00,Ivory Coast , Ghana,0,0,Final,08/02/2015,18,14,0,0
2017,14 January 2017 (2017-01-14),17:00,Gabon , Guinea-Bissau,1,1,Group stage,,13,16,1,0
2017,14 January 2017 (2017-01-14),20:00,Burkina Faso , Cameroon,1,1,Group stage,,3,5,1,0
2017,18 January 2017 (2017-01-18),17:00,Gabon , Burkina Faso,1,1,Group stage,,13,3,1,0
2017,18 January 2017 (2017-01-18),20:00,Cameroon , Guinea-Bissau,2,1,Group stage,,5,16,1,1
2017,22 January 2017 (2017-01-22),20:00,Cameroon , Gabon,0,0,Group stage,,5,12,1,0
2017,22 January 2017 (2017-01-22),20:00,Guinea-Bissau , Burkina Faso,0,2,Group stage,,17,3,1,-1
2017,15 January 2017 (2017-01-15),17:00,Algeria , Zimbabwe,2,2,Group stage,,0,42,1,0
2017,15 January 2017 (2017-01-15),20:00,Tunisia , Senegal,0,2,Group stage,,37,31,1,-1
2017,19 January 2017 (2017-01-19),17:00,Algeria , Tunisia,1,2,Group stage,,0,37,1,-1
2017,19 January 2017 (2017-01-19),20:00,Senegal , Zimbabwe,2,0,Group stage,,31,42,1,1
2017,23 January 2017 (2017-01-23),20:00,Senegal , Algeria,2,2,Group stage,,31,0,1,0
2017,23 January 2017 (2017-01-23),20:00,Zimbabwe , Tunisia,2,4,Group stage,,42,37,1,-1
2017,16 January 2017 (2017-01-16),17:00,Ivory Coast , Togo,0,0,Group stage,,18,36,1,0
2017,16 January 2017 (2017-01-16),20:00,DR Congo , Morocco,1,0,Group stage,,8,26,1,1
2017,20 January 2017 (2017-01-20),17:00,Ivory Coast , DR Congo,2,2,Group stage,,18,8,1,0
2017,20 January 2017 (2017-01-20),20:00,Morocco , Togo,3,1,Group stage,,26,36,1,1
2017,24 January 2017 (2017-01-24),20:00,Morocco , Ivory Coast,1,0,Group stage,,26,17,1,1
2017,24 January 2017 (2017-01-24),20:00,Togo , DR Congo,1,3,Group stage,,36,8,1,-1
2017,17 January 2017 (2017-01-17),17:00,Ghana , Uganda,1,0,Group stage,,15,38,1,1
2017,17 January 2017 (2017-01-17),20:00,Mali , Egypt,0,0,Group stage,,24,9,1,0
2017,21 January 2017 (2017-01-21),17:00,Ghana , Mali,1,0,Group stage,,15,23,1,1
2017,21 January 2017 (2017-01-21),20:00,Egypt , Uganda,1,0,Group stage,,10,38,1,1
2017,25 January 2017 (2017-01-25),20:00,Egypt , Ghana,1,0,Group stage,,10,14,1,1
2017,25 January 2017 (2017-01-25),20:00,Uganda , Mali,1,1,Group stage,,38,23,1,0
2017,28 January 2017 (2017-01-28),17:00,Burkina Faso , Tunisia,2,0,Quarter-finals,,3,37,2,1
