Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Date,HomeTeam_encoded,AwayTeam_encoded,Stage_encoded,Winner
1972,27-Feb-72,,Morocco , Sudan,1,1,Group stage,27/02/2072,26,34,1,0
1972,27-Feb-72,,Zaire , DR Congo,2,0,Group stage,27/02/2072,40,8,1,1
1972,29-Feb-72,,Morocco , Zaire,1,1,Group stage,29/02/2072,26,40,1,0
1972,29-Feb-72,,DR Congo , Sudan,4,2,Group stage,29/02/2072,8,34,1,1
1972,02-Mar-72,,Cameroon , DR Congo,0,1,Semi-finals,02/03/2072,5,8,4,-1
1972,02-Mar-72,,Zaire , Mali,3,4,Semi-finals,02/03/2072,40,23,4,-1
1972,04-Mar-72,,Cameroon , Zaire,5,2,Third place,04/03/2072,5,40,5,1
1972,05-Mar-72,,DR Congo , Mali,3,2,Final,05/03/2072,8,23,0,1
1974,01-Mar-74,,Egypt , Uganda,2,1,Group stage,01/03/1974,10,38,1,1
1974,02-Mar-74,,Zambia , Ivory Coast,1,0,Group stage,02/03/1974,41,17,1,1
1974,04-Mar-74,,Egypt , Zambia,3,1,Group stage,04/03/1974,10,41,1,1
1974,04-Mar-74,,Ivory Coast , Uganda,2,2,Group stage,04/03/1974,18,38,1,0
1974,06-Mar-74,,Egypt , Ivory Coast,2,0,Group stage,06/03/1974,10,17,1,1
1974,06-Mar-74,,Zambia , Uganda,1,0,Group stage,06/03/1974,41,38,1,1
1974,03-Mar-74,,Zaire , Guinea,2,1,Group stage,03/03/1974,40,15,1,1
1974,03-Mar-74,,DR Congo , Mauritius,2,0,Group stage,03/03/1974,8,25,1,1
1974,05-Mar-74,,Guinea , Mauritius,2,1,Group stage,05/03/1974,16,25,1,1
1974,05-Mar-74,,DR Congo , Zaire,2,1,Group stage,05/03/1974,8,40,1,1
1974,07-Mar-74,,DR Congo , Guinea,1,1,Group stage,07/03/1974,8,15,1,0
1974,07-Mar-74,,Zaire , Mauritius,4,1,Group stage,07/03/1974,40,25,1,1
1974,09-Mar-74,,Egypt , Zaire,2,3,Semi-finals,09/03/1974,10,40,4,-1
1974,09-Mar-74,,DR Congo , Zambia,2,4,Semi-finals,09/03/1974,8,41,4,-1
1974,11-Mar-74,,DR Congo , Egypt,0,4,Third place,11/03/1974,8,9,5,-1
1974,12-Mar-74,,Zaire , Zambia,2,2,Final,12/03/1974,40,41,0,0
1974,14-Mar-74,,Zaire , Zambia,2,0,Final,14/03/1974,40,41,0,1
1976,29-Feb-76,,Ethiopia , Uganda,2,0,Group stage,29/02/1976,12,38,1,1
1976,29-Feb-76,,Egypt , Guinea,1,1,Group stage,29/02/1976,10,15,1,0
1976,03-Mar-76,,Egypt , Uganda,2,1,Group stage,03/03/1976,10,38,1,1
1976,03-Mar-76,,Ethiopia , Guinea,1,2,Group stage,03/03/1976,12,15,1,-1
1976,05-Mar-76,,Guinea , Uganda,2,1,Group stage,05/03/1976,16,38,1,1
1976,05-Mar-76,,Ethiopia , Egypt,1,1,Group stage,05/03/1976,12,9,1,0
1976,01-Mar-76,,Nigeria , Zaire,4,2,Group stage,01/03/1976,29,40,1,1
1976,01-Mar-76,,Morocco , Sudan,2,2,Group stage,01/03/1976,26,34,1,0
1976,04-Mar-76,,Nigeria , Sudan,1,0,Group stage,04/03/1976,29,34,1,1
1976,04-Mar-76,,Morocco , Zaire,1,0,Group stage,04/03/1976,26,40,1,1
1976,06-Mar-76,,Morocco , Nigeria,3,1,Group stage,06/03/1976,26,29,1,1
1976,06-Mar-76,,Zaire , Sudan,1,1,Group stage,06/03/1976,40,34,1,0
1976,09-Mar-76,,Guinea , Nigeria,1,1,Group stage,09/03/1976,16,29,1,0
1976,09-Mar-76,,Morocco , Egypt,2,1,Group stage,09/03/1976,26,9,1,1
1976,11-Mar-76,,Morocco , Nigeria,2,1,Group stage,11/03/1976,26,29,1,1
1976,11-Mar-76,,Guinea , Egypt,4,2,Group stage,11/03/1976,16,9,1,1
1976,14-Mar-76,,Nigeria , Egypt,3,2,Group stage,14/03/1976,29,9,1,1
1976,14-Mar-76,,Guinea , Morocco,1,1,Group stage,14/03/1976,16,26,1,0
1978,05-Mar-78,,Ghana , Zambia,2,1,Group stage,05/03/1978,15,41,1,1
1978,05-Mar-78,,Nigeria , Upper Volta,4,2,Group stage,05/03/1978,29,39,1,1
1978,08-Mar-78,,Zambia , Upper Volta,2,0,Group stage,08/03/1978,41,39,1,1
1978,08-Mar-78,,Nigeria , Ghana,1,1,Group stage,08/03/1978,29,14,1,0
1978,10-Mar-78,,Zambia , Nigeria,0,0,Group stage,10/03/1978,41,29,1,0
1978,10-Mar-78,,Ghana , Upper Volta,3,0,Group stage,10/03/1978,15,39,1,1
1978,06-Mar-78,,Morocco , Tunisia,1,1,Group stage,06/03/1978,26,37,1,0
1978,06-Mar-78,,Uganda , DR Congo,3,1,Group stage,06/03/1978,38,8,1,1
1978,09-Mar-78,,Tunisia , Uganda,3,1,Group stage,09/03/1978,37,38,1,1
1978,09-Mar-78,,Morocco , DR Congo,1,0,Group stage,09/03/1978,26,8,1,1
1978,11-Mar-78,,DR Congo , Tunisia,0,0,Group stage,11/03/1978,8,37,1,0
