HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Morocco , Congo,1,0,Group stage,Morocco 
Congo , Tunisia,0,0,Group stage,Draw
Uganda , Morocco,3,0,Group stage,Uganda 
Ghana , Tunisia,1,0,Semi-finals,Ghana 
Uganda , Nigeria,2,1,Semi-finals,Uganda 
Nigeria , Tunisia,1,11,Third place, Tunisia
Ghana , Uganda,2,0,Final,Ghana 
Nigeria , Tanzania,3,1,Group stage,Nigeria 
Egypt , Ivory Coast,2,1,Group stage,Egypt 
Egypt , Tanzania,2,1,Group stage,Egypt 
Nigeria , Ivory Coast,0,0,Group stage,Draw
Ivory Coast , Tanzania,1,1,Group stage,Draw
Nigeria , Egypt,1,0,Group stage,Nigeria 
Ghana , Algeria,0,0,Group stage,Draw
Morocco , Guinea,1,1,Group stage,Draw
Algeria , Morocco,1,0,Group stage,Algeria 
Ghana , Guinea,1,0,Group stage,Ghana 
Algeria , Guinea,3,2,Group stage,Algeria 
Morocco , Ghana,1,0,Group stage,Morocco 
Nigeria , Morocco,1,0,Semi-finals,Nigeria 
Algeria , Egypt,2,2,Semi-finals,Draw
Morocco , Egypt,2,0,Third place,Morocco 
Nigeria , Algeria,3,0,Final,Nigeria 
Libya , Ghana,2,2,Group stage,Draw
Cameroon , Tunisia,1,1,Group stage,Draw
Cameroon , Ghana,0,0,Group stage,Draw
Libya , Tunisia,2,0,Group stage,Libya 
Ghana , Tunisia,1,0,Group stage,Ghana 
Libya , Cameroon,0,0,Group stage,Draw
Nigeria , Ethiopia,3,0,Group stage,Nigeria 
Algeria , Zambia,1,0,Group stage,Algeria 
Zambia , Ethiopia,1,0,Group stage,Zambia 
Algeria , Nigeria,2,1,Group stage,Algeria 
Algeria , Ethiopia,0,0,Group stage,Draw
Zambia , Nigeria,3,0,Group stage,Zambia 
Ghana , Algeria,3,2,Semi-finals,Ghana 
Libya , Zambia,2,1,Semi-finals,Libya 
Zambia , Algeria,2,0,Third place,Zambia 
Ghana , Libya,1,1,Final,Draw
Ivory Coast , Togo,3,0,Group stage,Ivory Coast 
Egypt , Cameroon,1,0,Group stage,Egypt 
Cameroon , Togo,4,1,Group stage,Cameroon 
Ivory Coast , Egypt,1,2,Group stage, Egypt
Egypt , Togo,0,0,Group stage,Draw
Ivory Coast , Cameroon,0,2,Group stage, Cameroon
Ghana , Nigeria,1,2,Group stage, Nigeria
Algeria , Malawi,3,0,Group stage,Algeria 
Malawi , Nigeria,2,2,Group stage,Draw
Algeria , Ghana,2,0,Group stage,Algeria 
Algeria , Nigeria,0,0,Group stage,Draw
Ghana , Malawi,1,0,Group stage,Ghana 
Egypt , Nigeria,2,2,Semi-finals,Draw
Algeria , Cameroon,0,0,Semi-finals,Draw
Algeria , Egypt,3,1,Third place,Algeria 
Cameroon , Nigeria,3,1,Final,Cameroon 
Senegal , Egypt,1,0,Group stage,Senegal 
Ivory Coast , Mozambique,3,0,Group stage,Ivory Coast 
Senegal , Mozambique,2,0,Group stage,Senegal 
Egypt , Ivory Coast,2,0,Group stage,Egypt 
Ivory Coast , Senegal,1,0,Group stage,Ivory Coast 
Egypt , Mozambique,2,0,Group stage,Egypt 
Algeria , Morocco,0,0,Group stage,Draw
Cameroon , Zambia,3,2,Group stage,Cameroon 
Algeria , Zambia,0,0,Group stage,Draw
Cameroon , Morocco,1,1,Group stage,Draw
Morocco , Zambia,1,0,Group stage,Morocco 
Cameroon , Algeria,3,2,Group stage,Cameroon 
Cameroon , Ivory Coast,1,0,Semi-finals,Cameroon 
Egypt , Morocco,1,0,Semi-finals,Egypt 
Ivory Coast , Morocco,3,2,Third place,Ivory Coast 
Egypt , Cameroon,0,0,Final,Draw
Morocco , Zaire,1,1,Group stage,Draw
Ivory Coast , Algeria,1,1,Group stage,Draw
Ivory Coast , Zaire,1,1,Group stage,Draw
Morocco , Algeria,1,0,Group stage,Morocco 
Algeria , Zaire,1,0,Group stage,Algeria 
Morocco , Ivory Coast,0,0,Group stage,Draw
Cameroon , Egypt,1,0,Group stage,Cameroon 
Nigeria , Kenya,3,0,Group stage,Nigeria 
Cameroon , Nigeria,1,1,Group stage,Draw
Egypt , Kenya,3,0,Group stage,Egypt 
Cameroon , Kenya,0,0,Group stage,Draw
Nigeria , Egypt,0,0,Group stage,Draw
Nigeria , Algeria,1,1,Semi-finals,Draw
Morocco , Cameroon,0,1,Semi-finals, Cameroon
Morocco , Algeria,1,1,Third place,Draw
Cameroon , Nigeria,1,0,Final,Cameroon 
Algeria , Nigeria,5,1,Group stage,Algeria 
Ivory Coast , Egypt,3,1,Group stage,Ivory Coast 
Nigeria , Egypt,1,0,Group stage,Nigeria 
Algeria , Ivory Coast,3,0,Group stage,Algeria 
Nigeria , Ivory Coast,1,0,Group stage,Nigeria 
Algeria , Egypt,2,0,Group stage,Algeria 
Zambia , Cameroon,1,0,Group stage,Zambia 
Senegal , Kenya,0,0,Group stage,Draw
Zambia , Kenya,1,0,Group stage,Zambia 
Senegal , Cameroon,2,0,Group stage,Senegal 
Zambia , Senegal,0,0,Group stage,Draw
Cameroon , Kenya,2,0,Group stage,Cameroon 
Zambia , Nigeria,0,2,Semi-finals, Nigeria
Algeria , Senegal,2,1,Semi-finals,Algeria 
Zambia , Senegal,1,0,Third place,Zambia 
Algeria , Nigeria,1,0,Final,Algeria 
Nigeria , Senegal,2,1,Group stage,Nigeria 
Nigeria , Kenya,2,1,Group stage,Nigeria 
Senegal , Kenya,3,0,Group stage,Senegal 
Cameroon , Morocco,1,0,Group stage,Cameroon 
Morocco , Zaire,1,1,Group stage,Draw
Cameroon , Zaire,1,1,Group stage,Draw
Ivory Coast , Algeria,3,0,Group stage,Ivory Coast 
Ivory Coast , Congo,0,0,Group stage,Draw
Algeria , Congo,1,1,Group stage,Draw
Zambia , Egypt,1,0,Group stage,Zambia 
Ghana , Zambia,1,0,Group stage,Ghana 
Ghana , Egypt,1,0,Group stage,Ghana 
Nigeria , Zaire,1,0,Quarter-finals,Nigeria 
Cameroon , Senegal,1,0,Quarter-finals,Cameroon 
Ivory Coast , Zambia,1,0,Quarter-finals,Ivory Coast 
Ghana , Congo,2,1,Quarter-finals,Ghana 
Ghana , Nigeria,2,1,Semi-finals,Ghana 
Cameroon , Ivory Coast,0,0,Semi-finals,Draw
Nigeria , Cameroon,2,1,Third place,Nigeria 
Ivory Coast , Ghana,0,0,Final,Draw
Tunisia , Mali,0,2,Group stage, Mali
Mali , Zaire,0,1,Group stage, Zaire
Tunisia , Zaire,1,1,Group stage,Draw
Nigeria , Gabon,3,0,Group stage,Nigeria 
Egypt , Gabon,4,0,Group stage,Egypt 
Nigeria , Egypt,0,0,Group stage,Draw
Ivory Coast , Sierra Leone,4,0,Group stage,Ivory Coast 
Zambia , Sierra Leone,0,0,Group stage,Draw
Zambia , Ivory Coast,1,0,Group stage,Zambia 
Ghana , Guinea,1,0,Group stage,Ghana 
Senegal , Guinea,2,1,Group stage,Senegal 
Ghana , Senegal,1,0,Group stage,Ghana 
Zaire , Nigeria,0,2,Quarter-finals, Nigeria
Egypt , Mali,0,1,Quarter-finals, Mali
Zambia , Senegal,1,0,Quarter-finals,Zambia 
Ghana , Ivory Coast,1,2,Quarter-finals, Ivory Coast
Nigeria , Ivory Coast,2,2,Semi-finals,Draw
Zambia , Mali,4,0,Semi-finals,Zambia 
Ivory Coast , Mali,3,1,Third place,Ivory Coast 
Nigeria , Zambia,2,1,Final,Nigeria 
South Africa , Cameroon,3,0,Group stage,South Africa 
Egypt , Angola,2,1,Group stage,Egypt 
Cameroon , Egypt,2,1,Group stage,Cameroon 
South Africa , Angola,1,0,Group stage,South Africa 
South Africa , Egypt,0,1,Group stage, Egypt
Angola , Cameroon,3,3,Group stage,Draw
Zambia , Algeria,0,0,Group stage,Draw
Sierra Leone , Burkina Faso,2,1,Group stage,Sierra Leone 
Algeria , Sierra Leone,2,0,Group stage,Algeria 
Zambia , Burkina Faso,5,1,Group stage,Zambia 
Algeria , Burkina Faso,2,1,Group stage,Algeria 
Zambia , Sierra Leone,4,0,Group stage,Zambia 
Gabon , Liberia,1,2,Group stage, Liberia
Gabon , Zaire,2,0,Group stage,Gabon 
Zaire , Liberia,2,0,Group stage,Zaire 
Ghana , Ivory Coast,2,0,Group stage,Ghana 
Tunisia , Mozambique,1,1,Group stage,Draw
Ghana , Tunisia,2,1,Group stage,Ghana 
Ivory Coast , Mozambique,1,0,Group stage,Ivory Coast 
Tunisia , Ivory Coast,3,1,Group stage,Tunisia 
Ghana , Mozambique,2,0,Group stage,Ghana 
South Africa , Algeria,2,1,Quarter-finals,South Africa 
Zambia , Egypt,3,1,Quarter-finals,Zambia 
Gabon , Tunisia,1,1,Quarter-finals,Draw
Ghana , Zaire,1,0,Quarter-finals,Ghana 
South Africa , Ghana,3,0,Semi-finals,South Africa 
Zambia , Tunisia,2,4,Semi-finals, Tunisia
Ghana , Zambia,0,1,Third place, Zambia
South Africa , Tunisia,2,0,Final,South Africa 
Burkina Faso , Cameroon,0,1,Group stage, Cameroon
Algeria , Guinea,0,1,Group stage, Guinea
Cameroon , Guinea,2,2,Group stage,Draw
Burkina Faso , Algeria,2,1,Group stage,Burkina Faso 
Burkina Faso , Guinea,1,0,Group stage,Burkina Faso 
Cameroon , Algeria,2,1,Group stage,Cameroon 
DR Congo , Togo,2,1,Group stage,DR Congo 
Ghana , Tunisia,2,0,Group stage,Ghana 
Tunisia , DR Congo,2,1,Group stage,Tunisia 
Togo , Ghana,2,1,Group stage,Togo 
DR Congo , Ghana,1,0,Group stage,DR Congo 
