HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Algeria , Ethiopia,0,0,Group B,
Zambia , Nigeria,3,0,Group B,
Ghana , Algeria,3,2,Semifinals,
Libya , Zambia,2,1,Semifinals,
Zambia , Algeria,2,0,Third place match,
Ghana , Libya,1,1,Final,
Ivory Coast , Togo,3,0,Group A,
Egypt , Cameroon,1,0,Group A,
Cameroon , Togo,4,1,Group A,
Ivory Coast , Egypt,1,2,Group A,
Egypt , Togo,0,0,Group A,
Ivory Coast , Cameroon,0,2,Group A,
Ghana , Nigeria,1,2,Group B,
Algeria , Malawi,3,0,Group B,
Malawi , Nigeria,2,2,Group B,
Algeria , Ghana,2,0,Group B,
Algeria , Nigeria,0,0,Group B,
Ghana , Malawi,1,0,Group B,
Egypt , Nigeria,2,2,Semifinals,
Algeria , Cameroon,0,0,Semifinals,
Algeria , Egypt,3,1,Third place match,
Cameroon , Nigeria,3,1,Final,
Senegal , Egypt,1,0,Group A,
Ivory Coast , Mozambique,3,0,Group A,
Senegal , Mozambique,2,0,Group A,
Egypt , Ivory Coast,2,0,Group A,
Ivory Coast , Senegal,1,0,Group A,
Egypt , Mozambique,2,0,Group A,
Algeria , Morocco,0,0,Group B,
Cameroon , Zambia,3,2,Group B,
Algeria , Zambia,0,0,Group B,
Cameroon , Morocco,1,1,Group B,
Morocco , Zambia,1,0,Group B,
Cameroon , Algeria,3,2,Group B,
Cameroon , Ivory Coast,1,0,Semifinals,
Egypt , Morocco,1,0,Semifinals,
Ivory Coast , Morocco,3,2,Third place match,
Egypt , Cameroon,0,0,Final,
Morocco , Zaire,1,1,Group A,
Ivory Coast , Algeria,1,1,Group A,
Ivory Coast , Zaire,1,1,Group A,
Morocco , Algeria,1,0,Group A,
Algeria , Zaire,1,0,Group A,
Morocco , Ivory Coast,0,0,Group A,
Cameroon , Egypt,1,0,Group B,
Nigeria , Kenya,3,0,Group B,
Cameroon , Nigeria,1,1,Group B,
Egypt , Kenya,3,0,Group B,
Cameroon , Kenya,0,0,Group B,
Nigeria , Egypt,0,0,Group B,
Nigeria , Algeria,1,1,Semifinals,
Morocco , Cameroon,0,1,Semifinals,
Morocco , Algeria,1,1,Third place match,
Cameroon , Nigeria,1,0,Final,
Algeria , Nigeria,5,1,Group A,
Ivory Coast , Egypt,3,1,Group A,
Nigeria , Egypt,1,0,Group A,
Algeria , Ivory Coast,3,0,Group A,
Nigeria , Ivory Coast,1,0,Group A,
Algeria , Egypt,2,0,Group A,
Zambia , Cameroon,1,0,Group B,
Senegal , Kenya,0,0,Group B,
Zambia , Kenya,1,0,Group B,
Senegal , Cameroon,2,0,Group B,
Zambia , Senegal,0,0,Group B,
Cameroon , Kenya,2,0,Group B,
Zambia , Nigeria,0,2,Semi-finals,
Algeria , Senegal,2,1,Semi-finals,
Zambia , Senegal,1,0,Third place match,
Algeria , Nigeria,1,0,Final,
Nigeria , Senegal,2,1,Group A,
Nigeria , Kenya,2,1,Group A,
Senegal , Kenya,3,0,Group A,
Cameroon , Morocco,1,0,Group B,
Morocco , Zaire,1,1,Group B,
Cameroon , Zaire,1,1,Group B,
Ivory Coast , Algeria,3,0,Group C,
Ivory Coast , Congo,0,0,Group C,
Algeria , Congo,1,1,Group C,
Zambia , Egypt,1,0,Group D,
Ghana , Zambia,1,0,Group D,
Ghana , Egypt,1,0,Group D,
Nigeria , Zaire,1,0,Quarter-finals,
Cameroon , Senegal,1,0,Quarter-finals,
Ivory Coast , Zambia,1,0,Quarter-finals,
Ghana , Congo,2,1,Quarter-finals,
Ghana , Nigeria,2,1,Semi-finals,
Cameroon , Ivory Coast,0,0,Semi-finals,
Nigeria , Cameroon,2,1,Third place match,
Ivory Coast , Ghana,0,0,Final,
Tunisia , Mali,0,2,Group A,
Mali , Zaire,0,1,Group A,
Tunisia , Zaire,1,1,Group A,
Nigeria , Gabon,3,0,Group B,
Egypt , Gabon,4,0,Group B,
Nigeria , Egypt,0,0,Group B,
Ivory Coast , Sierra Leone,4,0,Group C,
Zambia , Sierra Leone,0,0,Group C,
Zambia , Ivory Coast,1,0,Group C,
Ghana , Guinea,1,0,Group D,
Senegal , Guinea,2,1,Group D,
Ghana , Senegal,1,0,Group D,
Zaire , Nigeria,0,2,Quarterfinals,
Egypt , Mali,0,1,Quarterfinals,
Zambia , Senegal,1,0,Quarterfinals,
Ghana , Ivory Coast,1,2,Quarterfinals,
Nigeria , Ivory Coast,2,2,Semifinals,
Zambia , Mali,4,0,Semifinals,
Ivory Coast , Mali,3,1,Third place match,
Nigeria , Zambia,2,1,Final,
South Africa , Cameroon,3,0,Group A,
Egypt , Angola,2,1,Group A,
Cameroon , Egypt,2,1,Group A,
South Africa , Angola,1,0,Group A,
South Africa , Egypt,0,1,Group A,
Angola , Cameroon,3,3,Group A,
Zambia , Algeria,0,0,Group B,
Sierra Leone , Burkina Faso,2,1,Group B,
Algeria , Sierra Leone,2,0,Group B,
Zambia , Burkina Faso,5,1,Group B,
Algeria , Burkina Faso,2,1,Group B,
Zambia , Sierra Leone,4,0,Group B,
Gabon , Liberia,1,2,Group C,
Gabon , Zaire,2,0,Group C,
Zaire , Liberia,2,0,Group C,
Ghana , Ivory Coast,2,0,Group D,
Tunisia , Mozambique,1,1,Group D,
Ghana , Tunisia,2,1,Group D,
Ivory Coast , Mozambique,1,0,Group D,
Tunisia , Ivory Coast,3,1,Group D,
Ghana , Mozambique,2,0,Group D,
South Africa , Algeria,2,1,Quarterfinals,
Zambia , Egypt,3,1,Quarterfinals,
Gabon , Tunisia,1,1,Quarterfinals,
Ghana , Zaire,1,0,Quarterfinals,
South Africa , Ghana,3,0,Semifinals,
Zambia , Tunisia,2,4,Semifinals,
Ghana , Zambia,0,1,Third place match,
South Africa , Tunisia,2,0,Final,
Burkina Faso , Cameroon,0,1,Group A,
Algeria , Guinea,0,1,Group A,
Cameroon , Guinea,2,2,Group A,
Burkina Faso , Algeria,2,1,Group A,
Burkina Faso , Guinea,1,0,Group A,
Cameroon , Algeria,2,1,Group A,
DR Congo , Togo,2,1,Group B,
Ghana , Tunisia,2,0,Group B,
Tunisia , DR Congo,2,1,Group B,
Togo , Ghana,2,1,Group B,
DR Congo , Ghana,1,0,Group B,
Tunisia , Togo,3,1,Group B,
South Africa , Angola,0,0,Group C,
Ivory Coast , Namibia,4,3,Group C,
Ivory Coast , South Africa,1,1,Group C,
Angola , Namibia,3,3,Group C,
Ivory Coast , Angola,5,2,Group C,
South Africa , Namibia,4,1,Group C,
Morocco , Zambia,1,1,Group D,
Egypt , Mozambique,2,0,Group D,
Egypt , Zambia,4,0,Group D,
Morocco , Mozambique,3,0,Group D,
Zambia , Mozambique,3,1,Group D,
Morocco , Egypt,1,0,Group D,
Cameroon , DR Congo,0,1,Quarterfinals,
Tunisia , Burkina Faso,1,1,Quarterfinals,
Ivory Coast , Egypt,0,0,Quarterfinals,
Morocco , South Africa,1,2,Quarterfinals,
DR Congo , South Africa,1,2,Semifinals,
Burkina Faso , Egypt,0,2,Semifinals,
DR Congo , Burkina Faso,4,4,Third place match,
South Africa , Egypt,0,2,Final,
